earning_id,work_date,platform,city,shift,hours_worked,trips,km_driven,gross_earning,tips,fuel_cost,parking_tolls,commission_fee
51,2/20/2025,Bolt,Gdynia,Morning,8.1,22,177.3,432.46,10.95,88.99,8,89.36
52,2/21/2025,FreeNow,Gdansk,Evening,6.1,14,116.1,437.41,12.08,69.88,0,86.08
53,2/22/2025,Bolt,Gdansk,Evening,9.3,25,209.4,691.5,0,138.73,15,162.77
54,2/23/2025,Bolt,Gdynia,Morning,7,17,108.2,399.74,17.08,67.33,8,97.73
55,2/24/2025,Uber,Gdansk,Evening,6,12,125.9,336.19,12.92,63.9,0,65.9
56,2/25/2025,Bolt,Sopot,Evening,4.1,11,109.4,344.87,10.26,72.28,0,86.14
57,2/26/2025,Uber,Gdynia,Night,6.4,14,127.2,364.65,4.22,84.89,15,85.05
58,2/27/2025,Uber,Gdansk,Evening,4.6,12,100.4,418.38,4.53,49.51,0,93.54
59,2/28/2025,Bolt,Gdansk,Morning,5.3,10,77.5,279.3,15.07,39.14,0,56.35
60,3/1/2025,Uber,Gdansk,Morning,9.9,23,162.5,752.47,0,83.34,15,160.86
61,3/2/2025,Bolt,Gdansk,Morning,7.3,20,135.3,482.81,18.15,89.96,8,95.94
62,3/3/2025,Uber,Gdynia,Night,6.9,17,172.1,580.71,19.43,95.47,0,139.88
63,3/4/2025,FreeNow,Gdansk,Evening,8.3,18,187.2,490.01,16.44,112.31,0,105.19
64,3/5/2025,Uber,Gdansk,Evening,8.3,22,197.6,627.87,5.68,133,0,133.65
65,3/6/2025,FreeNow,Gdansk,Evening,7.2,19,160.1,669.47,17.16,90.01,8,122.19
66,3/7/2025,Uber,Gdynia,Night,9,23,253.3,610.82,3.92,131.43,0,111.91
67,3/8/2025,Bolt,Gdansk,Evening,7.1,19,141.4,714.35,17.83,85.85,5,174.23
68,3/9/2025,Uber,Gdansk,Evening,7.5,17,159,692.25,5.86,107.67,0,155.57
69,3/10/2025,Uber,Gdansk,Night,5,11,124.2,316.71,12.71,83.83,12,65.78
70,3/11/2025,Uber,Sopot,Night,8.9,24,287.2,940.57,0,152.51,12,181.82
71,3/12/2025,Uber,Gdynia,Night,7.4,14,128,444.33,0,79.16,0,108.27
72,3/13/2025,Uber,Gdansk,Morning,7.9,21,143.8,501.01,23.44,96.71,0,116.36
73,3/14/2025,Uber,Gdansk,Night,4.7,13,172.8,498.85,19.57,81.35,5,90.28
74,3/15/2025,Bolt,Gdansk,Evening,9.2,26,188.5,1076.94,0,125.72,0,262.85
75,3/16/2025,Uber,Gdansk,Night,10.1,25,293.2,782.87,3.79,147.77,8,148.35
76,3/17/2025,Bolt,Gdynia,Night,8.7,19,181,551.43,5.04,120.54,0,100.52
77,3/18/2025,Uber,Gdansk,Night,8.3,16,194.8,551.78,4.19,131.04,15,131.15
78,3/19/2025,Uber,Gdansk,Evening,8.9,16,157.2,534.65,21.65,78.23,0,126.67
79,3/20/2025,Uber,Gdynia,Night,7,15,165.9,650.41,0,75.64,0,133.38
80,3/21/2025,Bolt,Gdynia,Morning,5.3,10,71.2,194.45,0,33.83,8,38.02
81,3/22/2025,Bolt,Gdynia,Night,9.1,23,286.3,707.11,5.22,161.12,5,130.92
82,3/23/2025,Uber,Gdynia,Morning,7.6,22,213.2,573.24,4.76,117.04,15,131.34
83,3/24/2025,FreeNow,Gdynia,Night,7.6,15,146.9,427.35,5.32,76.67,0,96.82
84,3/25/2025,Uber,Gdansk,Night,4.3,11,136.2,272.09,7.3,91.26,8,55.25
85,3/26/2025,Uber,Gdansk,Evening,7.8,21,192.7,751.37,9.54,93.57,5,147.04
86,3/27/2025,Uber,Gdynia,Evening,7.8,19,209.7,660.43,10.37,121.22,8,161.83
87,3/28/2025,Bolt,Gdansk,Morning,7.5,16,153,285.69,3.67,94.92,0,53.26
88,3/29/2025,Bolt,Gdansk,Evening,7.1,18,177.2,686.17,0,104.92,12,127.43
89,3/30/2025,Uber,Gdansk,Evening,8.2,20,156.3,618.24,9.43,94.32,0,120.83
90,3/31/2025,FreeNow,Gdansk,Morning,8.7,22,145.2,506.82,3.94,78.04,12,99.39
